n_10_c_1023_g_3_f_0.3_eps_0_s_50,1064,1,2171
n_11_c_1023_g_3_f_0.3_eps_0_s_50,1011,1,2065
n_12_c_1023_g_3_f_0.3_eps_0_s_50,1187,1,2417
n_13_c_1023_g_3_f_0.3_eps_0_s_50,1433,1,2909
n_14_c_1023_g_3_f_0.3_eps_0_s_50,1298,1,2639
n_15_c_1023_g_4_f_0.3_eps_0_s_50,1426,1,2895
n_16_c_1023_g_4_f_0.3_eps_0_s_50,1882,1,3807
n_17_c_1023_g_4_f_0.3_eps_0_s_50,1828,1,3699
n_18_c_1023_g_4_f_0.3_eps_0_s_50,2288,1,4629
n_19_c_1023_g_4_f_0.3_eps_0_s_50,2124,1,4301
n_20_c_1023_g_5_f_0.3_eps_0_s_50,2104,1,4261
n_21_c_1023_g_5_f_0.3_eps_0_s_50,2379,1,4811
n_22_c_1023_g_5_f_0.3_eps_0_s_50,2429,1,4911
n_23_c_1023_g_6_f_0.3_eps_0_s_50,2419,1,4891
n_24_c_1023_g_6_f_0.3_eps_0_s_50,2426,1,4905
n_25_c_1023_g_6_f_0.3_eps_0_s_50,2933,1,5919
n_26_c_1023_g_6_f_0.3_eps_0_s_50,2885,1,5823
n_27_c_1023_g_6_f_0.3_eps_0_s_50,3168,1,6389
n_28_c_1023_g_6_f_0.3_eps_0_s_50,3225,1,6503
n_29_c_1023_g_6_f_0.3_eps_0_s_50,3306,1,6665
n_30_c_1023_g_6_f_0.3_eps_0_s_50,3305,1,6663
n_31_c_1023_g_6_f_0.3_eps_0_s_50,3582,1,7217
n_32_c_1023_g_6_f_0.3_eps_0_s_50,3674,1,7401
n_33_c_1023_g_6_f_0.3_eps_0_s_50,4011,1,8075
n_34_c_1023_g_6_f_0.3_eps_0_s_50,3791,1,7645
n_35_c_1023_g_6_f_0.3_eps_0_s_50,4120,1,8303
n_36_c_1023_g_6_f_0.3_eps_0_s_50,3995,1,8053
n_37_c_1023_g_6_f_0.3_eps_0_s_50,4285,1,8633
n_38_c_1023_g_6_f_0.3_eps_0_s_50,4591,1,9245
n_39_c_1023_g_6_f_0.3_eps_0_s_50,4364,1,8791
n_40_c_1023_g_6_f_0.3_eps_0_s_50,4586,1,9235
n_5_c_1023_g_1_f_0.3_eps_0_s_50,383,1,789
n_6_c_1023_g_1_f_0.3_eps_0_s_50,516,1,1065
n_7_c_1023_g_2_f_0.3_eps_0_s_50,533,1,1099
n_8_c_1023_g_2_f_0.3_eps_0_s_50,739,1,1511
n_9_c_1023_g_2_f_0.3_eps_0_s_50,736,1,1505
